Unnamed: 0,Question,Answer,processed_description
744,"What is the description of technique, Data Manipulation according to Mitre Attack framework?","Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: Sygnia Elephant Beetle Jan 2022) By manipulating data, adversaries may attempt to affect a business process, organizational understanding, or decision making.

The type of modification and the impact it will have depends on the target application and process as well as the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact.","adversaries may insert delete or manipulate data in order to influence external outcomes or hide activity thus threatening the integrity of the datacitation sygnia elephant beetle jan  by manipulating data adversaries may attempt to affect a business process organizational understanding or decision making

the type of modification and the impact it will have depends on the target application and process as well as the goals and objectives of the adversary for complex systems an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact"
745,"Which platforms does technique, Data Manipulation primarily target according to Mitre Attack framework?","The technique Data Manipulation targets or exploits these platforms Linux, Windows, macOS",the technique data manipulation targets or exploits these platforms linux windows macos
746,"How to detect or prevent technique, Data Manipulation from being exploited?","Where applicable, inspect important file hashes, locations, and modifications for suspicious/unexpected values. With some critical processes involving transmission of data, manual or out-of-band integrity checking may be useful for identifying manipulated data.",where applicable inspect important file hashes locations and modifications for suspiciousunexpected values with some critical processes involving transmission of data manual or outofband integrity checking may be useful for identifying manipulated data
747,"What is the technique id for technique, Data Manipulation according to mitre attack framework?",The technique id of the technique Data Manipulation is T1565,the technique id of the technique data manipulation is t
748,"What are the tactics does this technique, Data Manipulation belongs to?",The technique Data Manipulation belongs to these tactics Impact,the technique data manipulation belongs to these tactics impact
749,"What is the description of technique, Data Manipulation: Runtime Data Manipulation according to Mitre Attack framework?","Adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating runtime data, adversaries may attempt to affect a business process, organizational understanding, and decision making.

Adversaries may alter application binaries used to display data in order to cause runtime manipulations. Adversaries may also conduct [Change Default File Association](https://attack.mitre.org/techniques/T1546/001) and [Masquerading](https://attack.mitre.org/techniques/T1036) to cause a similar effect. The type of modification and the impact it will have depends on the target application and process as well as the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact.","adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user thus threatening the integrity of the datacitation fireeye apt oct citation doj lazarus sony  by manipulating runtime data adversaries may attempt to affect a business process organizational understanding and decision making

adversaries may alter application binaries used to display data in order to cause runtime manipulations adversaries may also conduct change default file associationhttpsattackmitreorgtechniquest and masqueradinghttpsattackmitreorgtechniquest to cause a similar effect the type of modification and the impact it will have depends on the target application and process as well as the goals and objectives of the adversary for complex systems an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact"
750,"Which platforms does technique, Data Manipulation: Runtime Data Manipulation primarily target according to Mitre Attack framework?","The technique Data Manipulation: Runtime Data Manipulation targets or exploits these platforms Linux, Windows, macOS",the technique data manipulation runtime data manipulation targets or exploits these platforms linux windows macos
751,"How to detect or prevent technique, Data Manipulation: Runtime Data Manipulation from being exploited?","Inspect important application binary file hashes, locations, and modifications for suspicious/unexpected values.",inspect important application binary file hashes locations and modifications for suspiciousunexpected values
752,"What is the technique id for technique, Data Manipulation: Runtime Data Manipulation according to mitre attack framework?",The technique id of the technique Data Manipulation: Runtime Data Manipulation is T1565.003,the technique id of the technique data manipulation runtime data manipulation is t
753,"What are the tactics does this technique, Data Manipulation: Runtime Data Manipulation belongs to?",The technique Data Manipulation: Runtime Data Manipulation belongs to these tactics Impact,the technique data manipulation runtime data manipulation belongs to these tactics impact
754,"What is the description of technique, Data Manipulation: Stored Data Manipulation according to Mitre Attack framework?","Adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating stored data, adversaries may attempt to affect a business process, organizational understanding, and decision making.

Stored data could include a variety of file formats, such as Office files, databases, stored emails, and custom file formats. The type of modification and the impact it will have depends on the type of data as well as the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact.","adversaries may insert delete or manipulate data at rest in order to influence external outcomes or hide activity thus threatening the integrity of the datacitation fireeye apt oct citation doj lazarus sony  by manipulating stored data adversaries may attempt to affect a business process organizational understanding and decision making

stored data could include a variety of file formats such as office files databases stored emails and custom file formats the type of modification and the impact it will have depends on the type of data as well as the goals and objectives of the adversary for complex systems an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact"
755,"Which platforms does technique, Data Manipulation: Stored Data Manipulation primarily target according to Mitre Attack framework?","The technique Data Manipulation: Stored Data Manipulation targets or exploits these platforms Linux, Windows, macOS",the technique data manipulation stored data manipulation targets or exploits these platforms linux windows macos
756,"How to detect or prevent technique, Data Manipulation: Stored Data Manipulation from being exploited?","Where applicable, inspect important file hashes, locations, and modifications for suspicious/unexpected values.",where applicable inspect important file hashes locations and modifications for suspiciousunexpected values
757,"What is the technique id for technique, Data Manipulation: Stored Data Manipulation according to mitre attack framework?",The technique id of the technique Data Manipulation: Stored Data Manipulation is T1565.001,the technique id of the technique data manipulation stored data manipulation is t
758,"What are the tactics does this technique, Data Manipulation: Stored Data Manipulation belongs to?",The technique Data Manipulation: Stored Data Manipulation belongs to these tactics Impact,the technique data manipulation stored data manipulation belongs to these tactics impact
759,"What is the description of technique, Data Manipulation: Transmitted Data Manipulation according to Mitre Attack framework?","Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating transmitted data, adversaries may attempt to affect a business process, organizational understanding, and decision making.

Manipulation may be possible over a network connection or between system processes where there is an opportunity deploy a tool that will intercept and change information. The type of modification and the impact it will have depends on the target transmission mechanism as well as the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact.","adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity thus threatening the integrity of the datacitation fireeye apt oct citation doj lazarus sony  by manipulating transmitted data adversaries may attempt to affect a business process organizational understanding and decision making

manipulation may be possible over a network connection or between system processes where there is an opportunity deploy a tool that will intercept and change information the type of modification and the impact it will have depends on the target transmission mechanism as well as the goals and objectives of the adversary for complex systems an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact"
760,"Which platforms does technique, Data Manipulation: Transmitted Data Manipulation primarily target according to Mitre Attack framework?","The technique Data Manipulation: Transmitted Data Manipulation targets or exploits these platforms Linux, Windows, macOS",the technique data manipulation transmitted data manipulation targets or exploits these platforms linux windows macos
761,"How to detect or prevent technique, Data Manipulation: Transmitted Data Manipulation from being exploited?","Detecting the manipulation of data as at passes over a network can be difficult without the appropriate tools. In some cases integrity verification checks, such as file hashing, may be used on critical files as they transit a network. With some critical processes involving transmission of data, manual or out-of-band integrity checking may be useful for identifying manipulated data. ",detecting the manipulation of data as at passes over a network can be difficult without the appropriate tools in some cases integrity verification checks such as file hashing may be used on critical files as they transit a network with some critical processes involving transmission of data manual or outofband integrity checking may be useful for identifying manipulated data 
762,"What is the technique id for technique, Data Manipulation: Transmitted Data Manipulation according to mitre attack framework?",The technique id of the technique Data Manipulation: Transmitted Data Manipulation is T1565.002,the technique id of the technique data manipulation transmitted data manipulation is t
763,"What are the tactics does this technique, Data Manipulation: Transmitted Data Manipulation belongs to?",The technique Data Manipulation: Transmitted Data Manipulation belongs to these tactics Impact,the technique data manipulation transmitted data manipulation belongs to these tactics impact
764,"What is the description of technique, Data Obfuscation according to Mitre Attack framework?","Adversaries may obfuscate command and control traffic to make it more difficult to detect.(Citation: Bitdefender FunnyDream Campaign November 2020) Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols. ",adversaries may obfuscate command and control traffic to make it more difficult to detectcitation bitdefender funnydream campaign november  command and control c communications are hidden but not necessarily encrypted in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen this encompasses many methods such as adding junk data to protocol traffic using steganography or impersonating legitimate protocols 
765,"Which platforms does technique, Data Obfuscation primarily target according to Mitre Attack framework?","The technique Data Obfuscation targets or exploits these platforms Linux, Windows, macOS",the technique data obfuscation targets or exploits these platforms linux windows macos
766,"How to detect or prevent technique, Data Obfuscation from being exploited?","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used. (Citation: University of Birmingham C2)",analyze network data for uncommon data flows eg a client sending significantly more data than it receives from a server processes utilizing the network that do not normally have network communication or have never been seen before are suspicious analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used citation university of birmingham c
767,"What is the technique id for technique, Data Obfuscation according to mitre attack framework?",The technique id of the technique Data Obfuscation is T1001,the technique id of the technique data obfuscation is t
768,"What are the tactics does this technique, Data Obfuscation belongs to?",The technique Data Obfuscation belongs to these tactics Command and Control,the technique data obfuscation belongs to these tactics command and control
769,"What is the description of technique, Data Obfuscation: Junk Data according to Mitre Attack framework?","Adversaries may add junk data to protocols used for command and control to make detection more difficult.(Citation: FireEye SUNBURST Backdoor December 2020) By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. Examples may include appending/prepending data with junk characters or writing junk characters between significant characters. ",adversaries may add junk data to protocols used for command and control to make detection more difficultcitation fireeye sunburst backdoor december  by adding random or meaningless data to the protocols used for command and control adversaries can prevent trivial methods for decoding deciphering or otherwise analyzing the traffic examples may include appendingprepending data with junk characters or writing junk characters between significant characters 
770,"Which platforms does technique, Data Obfuscation: Junk Data primarily target according to Mitre Attack framework?","The technique Data Obfuscation: Junk Data targets or exploits these platforms Linux, Windows, macOS",the technique data obfuscation junk data targets or exploits these platforms linux windows macos
771,"How to detect or prevent technique, Data Obfuscation: Junk Data from being exploited?","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.(Citation: University of Birmingham C2)",analyze network data for uncommon data flows eg a client sending significantly more data than it receives from a server processes utilizing the network that do not normally have network communication or have never been seen before are suspicious analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being usedcitation university of birmingham c
772,"What is the technique id for technique, Data Obfuscation: Junk Data according to mitre attack framework?",The technique id of the technique Data Obfuscation: Junk Data is T1001.001,the technique id of the technique data obfuscation junk data is t
773,"What are the tactics does this technique, Data Obfuscation: Junk Data belongs to?",The technique Data Obfuscation: Junk Data belongs to these tactics Command and Control,the technique data obfuscation junk data belongs to these tactics command and control
774,"What is the description of technique, Data Obfuscation: Protocol Impersonation according to Mitre Attack framework?","Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.  

Adversaries may impersonate a fake SSL/TLS handshake to make it look like subsequent traffic is SSL/TLS encrypted, potentially interfering with some security tooling, or to make the traffic look like it is related with a trusted entity. ","adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts by impersonating legitimate protocols or web services adversaries can make their command and control traffic blend in with legitimate network traffic  

adversaries may impersonate a fake ssltls handshake to make it look like subsequent traffic is ssltls encrypted potentially interfering with some security tooling or to make the traffic look like it is related with a trusted entity "
775,"Which platforms does technique, Data Obfuscation: Protocol Impersonation primarily target according to Mitre Attack framework?","The technique Data Obfuscation: Protocol Impersonation targets or exploits these platforms Linux, Windows, macOS",the technique data obfuscation protocol impersonation targets or exploits these platforms linux windows macos
776,"How to detect or prevent technique, Data Obfuscation: Protocol Impersonation from being exploited?","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.(Citation: University of Birmingham C2)",analyze network data for uncommon data flows eg a client sending significantly more data than it receives from a server processes utilizing the network that do not normally have network communication or have never been seen before are suspicious analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being usedcitation university of birmingham c
777,"What is the technique id for technique, Data Obfuscation: Protocol Impersonation according to mitre attack framework?",The technique id of the technique Data Obfuscation: Protocol Impersonation is T1001.003,the technique id of the technique data obfuscation protocol impersonation is t
778,"What are the tactics does this technique, Data Obfuscation: Protocol Impersonation belongs to?",The technique Data Obfuscation: Protocol Impersonation belongs to these tactics Command and Control,the technique data obfuscation protocol impersonation belongs to these tactics command and control
779,"What is the description of technique, Data Obfuscation: Steganography according to Mitre Attack framework?","Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. Steganographic techniques can be used to hide data in digital messages that are transferred between systems. This hidden information can be used for command and control of compromised systems. In some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control. ",adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult steganographic techniques can be used to hide data in digital messages that are transferred between systems this hidden information can be used for command and control of compromised systems in some cases the passing of files embedded using steganography such as image or document files can be used for command and control 
780,"Which platforms does technique, Data Obfuscation: Steganography primarily target according to Mitre Attack framework?","The technique Data Obfuscation: Steganography targets or exploits these platforms Linux, Windows, macOS",the technique data obfuscation steganography targets or exploits these platforms linux windows macos
781,"How to detect or prevent technique, Data Obfuscation: Steganography from being exploited?","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.(Citation: University of Birmingham C2)",analyze network data for uncommon data flows eg a client sending significantly more data than it receives from a server processes utilizing the network that do not normally have network communication or have never been seen before are suspicious analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being usedcitation university of birmingham c
782,"What is the technique id for technique, Data Obfuscation: Steganography according to mitre attack framework?",The technique id of the technique Data Obfuscation: Steganography is T1001.002,the technique id of the technique data obfuscation steganography is t
783,"What are the tactics does this technique, Data Obfuscation: Steganography belongs to?",The technique Data Obfuscation: Steganography belongs to these tactics Command and Control,the technique data obfuscation steganography belongs to these tactics command and control
784,"What is the description of technique, Data Staged according to Mitre Attack framework?","Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location.(Citation: PWC Cloud Hopper April 2017)

In cloud environments, adversaries may stage data within a particular instance or virtual machine before exfiltration. An adversary may [Create Cloud Instance](https://attack.mitre.org/techniques/T1578/002) and stage data in that instance.(Citation: Mandiant M-Trends 2020)

Adversaries may choose to stage data from a victim network in a centralized location prior to Exfiltration to minimize the number of connections made to their C2 server and better evade detection.","adversaries may stage collected data in a central location or directory prior to exfiltration data may be kept in separate files or combined into one file through techniques such as archive collected datahttpsattackmitreorgtechniquest interactive command shells may be used and common functionality within cmdhttpsattackmitreorgsoftwares and bash may be used to copy data into a staging locationcitation pwc cloud hopper april 

in cloud environments adversaries may stage data within a particular instance or virtual machine before exfiltration an adversary may create cloud instancehttpsattackmitreorgtechniquest and stage data in that instancecitation mandiant mtrends 

adversaries may choose to stage data from a victim network in a centralized location prior to exfiltration to minimize the number of connections made to their c server and better evade detection"
785,"Which platforms does technique, Data Staged primarily target according to Mitre Attack framework?","The technique Data Staged targets or exploits these platforms IaaS, Linux, Windows, macOS",the technique data staged targets or exploits these platforms iaas linux windows macos
786,"How to detect or prevent technique, Data Staged from being exploited?","Processes that appear to be reading files from disparate locations and writing them to the same directory or file may be an indication of data being staged, especially if they are suspected of performing encryption or compression on the files, such as 7zip, RAR, ZIP, or zlib. Monitor publicly writeable directories, central locations, and commonly used staging directories (recycle bin, temp folders, etc.) to regularly check for compressed or encrypted data that may be indicative of staging.

Monitor processes and command-line arguments for actions that could be taken to collect and combine files. Remote access tools with built-in features may interact directly with the Windows API to gather and copy to a location. Data may also be acquired and staged through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1059/001).

Consider monitoring accesses and modifications to storage repositories (such as the Windows Registry), especially from suspicious processes that could be related to malicious data collection.","processes that appear to be reading files from disparate locations and writing them to the same directory or file may be an indication of data being staged especially if they are suspected of performing encryption or compression on the files such as zip rar zip or zlib monitor publicly writeable directories central locations and commonly used staging directories recycle bin temp folders etc to regularly check for compressed or encrypted data that may be indicative of staging

monitor processes and commandline arguments for actions that could be taken to collect and combine files remote access tools with builtin features may interact directly with the windows api to gather and copy to a location data may also be acquired and staged through windows system management tools such as windows management instrumentationhttpsattackmitreorgtechniquest and powershellhttpsattackmitreorgtechniquest

consider monitoring accesses and modifications to storage repositories such as the windows registry especially from suspicious processes that could be related to malicious data collection"
787,"What is the technique id for technique, Data Staged according to mitre attack framework?",The technique id of the technique Data Staged is T1074,the technique id of the technique data staged is t
788,"What are the tactics does this technique, Data Staged belongs to?",The technique Data Staged belongs to these tactics Collection,the technique data staged belongs to these tactics collection
789,"What is the description of technique, Data Staged: Local Data Staging according to Mitre Attack framework?","Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location.

Adversaries may also stage collected data in various available formats/locations of a system, including local storage databases/repositories or the Windows Registry.(Citation: Prevailion DarkWatchman 2021)","adversaries may stage collected data in a central location or directory on the local system prior to exfiltration data may be kept in separate files or combined into one file through techniques such as archive collected datahttpsattackmitreorgtechniquest interactive command shells may be used and common functionality within cmdhttpsattackmitreorgsoftwares and bash may be used to copy data into a staging location

adversaries may also stage collected data in various available formatslocations of a system including local storage databasesrepositories or the windows registrycitation prevailion darkwatchman "
790,"Which platforms does technique, Data Staged: Local Data Staging primarily target according to Mitre Attack framework?","The technique Data Staged: Local Data Staging targets or exploits these platforms Linux, Windows, macOS",the technique data staged local data staging targets or exploits these platforms linux windows macos
791,"How to detect or prevent technique, Data Staged: Local Data Staging from being exploited?","Processes that appear to be reading files from disparate locations and writing them to the same directory or file may be an indication of data being staged, especially if they are suspected of performing encryption or compression on the files, such as 7zip, RAR, ZIP, or zlib. Monitor publicly writeable directories, central locations, and commonly used staging directories (recycle bin, temp folders, etc.) to regularly check for compressed or encrypted data that may be indicative of staging.

Monitor processes and command-line arguments for actions that could be taken to collect and combine files. Remote access tools with built-in features may interact directly with the Windows API to gather and copy to a location. Data may also be acquired and staged through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1059/001).

Consider monitoring accesses and modifications to local storage repositories (such as the Windows Registry), especially from suspicious processes that could be related to malicious data collection.","processes that appear to be reading files from disparate locations and writing them to the same directory or file may be an indication of data being staged especially if they are suspected of performing encryption or compression on the files such as zip rar zip or zlib monitor publicly writeable directories central locations and commonly used staging directories recycle bin temp folders etc to regularly check for compressed or encrypted data that may be indicative of staging

monitor processes and commandline arguments for actions that could be taken to collect and combine files remote access tools with builtin features may interact directly with the windows api to gather and copy to a location data may also be acquired and staged through windows system management tools such as windows management instrumentationhttpsattackmitreorgtechniquest and powershellhttpsattackmitreorgtechniquest

consider monitoring accesses and modifications to local storage repositories such as the windows registry especially from suspicious processes that could be related to malicious data collection"
792,"What is the technique id for technique, Data Staged: Local Data Staging according to mitre attack framework?",The technique id of the technique Data Staged: Local Data Staging is T1074.001,the technique id of the technique data staged local data staging is t
793,"What are the tactics does this technique, Data Staged: Local Data Staging belongs to?",The technique Data Staged: Local Data Staging belongs to these tactics Collection,the technique data staged local data staging belongs to these tactics collection
794,"What is the description of technique, Data Staged: Remote Data Staging according to Mitre Attack framework?","Adversaries may stage data collected from multiple systems in a central location or directory on one system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location.

In cloud environments, adversaries may stage data within a particular instance or virtual machine before exfiltration. An adversary may [Create Cloud Instance](https://attack.mitre.org/techniques/T1578/002) and stage data in that instance.(Citation: Mandiant M-Trends 2020)

By staging data on one system prior to Exfiltration, adversaries can minimize the number of connections made to their C2 server and better evade detection.","adversaries may stage data collected from multiple systems in a central location or directory on one system prior to exfiltration data may be kept in separate files or combined into one file through techniques such as archive collected datahttpsattackmitreorgtechniquest interactive command shells may be used and common functionality within cmdhttpsattackmitreorgsoftwares and bash may be used to copy data into a staging location

in cloud environments adversaries may stage data within a particular instance or virtual machine before exfiltration an adversary may create cloud instancehttpsattackmitreorgtechniquest and stage data in that instancecitation mandiant mtrends 

by staging data on one system prior to exfiltration adversaries can minimize the number of connections made to their c server and better evade detection"
795,"Which platforms does technique, Data Staged: Remote Data Staging primarily target according to Mitre Attack framework?","The technique Data Staged: Remote Data Staging targets or exploits these platforms IaaS, Linux, Windows, macOS",the technique data staged remote data staging targets or exploits these platforms iaas linux windows macos
796,"How to detect or prevent technique, Data Staged: Remote Data Staging from being exploited?","Processes that appear to be reading files from disparate locations and writing them to the same directory or file may be an indication of data being staged, especially if they are suspected of performing encryption or compression on the files, such as 7zip, RAR, ZIP, or zlib. Monitor publicly writeable directories, central locations, and commonly used staging directories (recycle bin, temp folders, etc.) to regularly check for compressed or encrypted data that may be indicative of staging.

Monitor processes and command-line arguments for actions that could be taken to collect and combine files. Remote access tools with built-in features may interact directly with the Windows API to gather and copy to a location. Data may also be acquired and staged through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1059/001).","processes that appear to be reading files from disparate locations and writing them to the same directory or file may be an indication of data being staged especially if they are suspected of performing encryption or compression on the files such as zip rar zip or zlib monitor publicly writeable directories central locations and commonly used staging directories recycle bin temp folders etc to regularly check for compressed or encrypted data that may be indicative of staging

monitor processes and commandline arguments for actions that could be taken to collect and combine files remote access tools with builtin features may interact directly with the windows api to gather and copy to a location data may also be acquired and staged through windows system management tools such as windows management instrumentationhttpsattackmitreorgtechniquest and powershellhttpsattackmitreorgtechniquest"
797,"What is the technique id for technique, Data Staged: Remote Data Staging according to mitre attack framework?",The technique id of the technique Data Staged: Remote Data Staging is T1074.002,the technique id of the technique data staged remote data staging is t
798,"What are the tactics does this technique, Data Staged: Remote Data Staging belongs to?",The technique Data Staged: Remote Data Staging belongs to these tactics Collection,the technique data staged remote data staging belongs to these tactics collection
799,"What is the description of technique, Data Transfer Size Limits according to Mitre Attack framework?",An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.,an adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds this approach may be used to avoid triggering network data transfer threshold alerts
800,"Which platforms does technique, Data Transfer Size Limits primarily target according to Mitre Attack framework?","The technique Data Transfer Size Limits targets or exploits these platforms Linux, Windows, macOS",the technique data transfer size limits targets or exploits these platforms linux windows macos
801,"How to detect or prevent technique, Data Transfer Size Limits from being exploited?","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). If a process maintains a long connection during which it consistently sends fixed size data packets or a process opens connections and sends fixed sized data packets at regular intervals, it may be performing an aggregate data transfer. Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used. (Citation: University of Birmingham C2)",analyze network data for uncommon data flows eg a client sending significantly more data than it receives from a server if a process maintains a long connection during which it consistently sends fixed size data packets or a process opens connections and sends fixed sized data packets at regular intervals it may be performing an aggregate data transfer processes utilizing the network that do not normally have network communication or have never been seen before are suspicious analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used citation university of birmingham c
802,"What is the technique id for technique, Data Transfer Size Limits according to mitre attack framework?",The technique id of the technique Data Transfer Size Limits is T1030,the technique id of the technique data transfer size limits is t
803,"What are the tactics does this technique, Data Transfer Size Limits belongs to?",The technique Data Transfer Size Limits belongs to these tactics Exfiltration,the technique data transfer size limits belongs to these tactics exfiltration
804,"What is the description of technique, Data from Cloud Storage according to Mitre Attack framework?","Adversaries may access data from cloud storage.

Many IaaS providers offer solutions for online data object storage such as Amazon S3, Azure Storage, and Google Cloud Storage. Similarly, SaaS enterprise platforms such as Office 365 and Google Workspace provide cloud-based document storage to users through services such as OneDrive and Google Drive, while SaaS application providers such as Slack, Confluence, Salesforce, and Dropbox may provide cloud storage solutions as a peripheral or primary use case of their platform. 

In some cases, as with IaaS-based cloud storage, there exists no overarching application (such as SQL or Elasticsearch) with which to interact with the stored objects: instead, data from these solutions is retrieved directly though the [Cloud API](https://attack.mitre.org/techniques/T1059/009). In SaaS applications, adversaries may be able to collect this data directly from APIs or backend cloud storage objects, rather than through their front-end application or interface (i.e., [Data from Information Repositories](https://attack.mitre.org/techniques/T1213)). 

Adversaries may collect sensitive data from these cloud storage solutions. Providers typically offer security guides to help end users configure systems, though misconfigurations are a common problem.(Citation: Amazon S3 Security, 2019)(Citation: Microsoft Azure Storage Security, 2019)(Citation: Google Cloud Storage Best Practices, 2019) There have been numerous incidents where cloud storage has been improperly secured, typically by unintentionally allowing public access to unauthenticated users, overly-broad access by all users, or even access for any anonymous person outside the control of the Identity Access Management system without even needing basic user permissions.

This open access may expose various types of sensitive data, such as credit cards, personally identifiable information, or medical records.(Citation: Trend Micro S3 Exposed PII, 2017)(Citation: Wired Magecart S3 Buckets, 2019)(Citation: HIPAA Journal S3 Breach, 2017)(Citation: Rclone-mega-extortion_05_2021)

Adversaries may also obtain then abuse leaked credentials from source repositories, logs, or other means as a way to gain access to cloud storage objects.","adversaries may access data from cloud storage

many iaas providers offer solutions for online data object storage such as amazon s azure storage and google cloud storage similarly saas enterprise platforms such as office  and google workspace provide cloudbased document storage to users through services such as onedrive and google drive while saas application providers such as slack confluence salesforce and dropbox may provide cloud storage solutions as a peripheral or primary use case of their platform 

in some cases as with iaasbased cloud storage there exists no overarching application such as sql or elasticsearch with which to interact with the stored objects instead data from these solutions is retrieved directly though the cloud apihttpsattackmitreorgtechniquest in saas applications adversaries may be able to collect this data directly from apis or backend cloud storage objects rather than through their frontend application or interface ie data from information repositorieshttpsattackmitreorgtechniquest 

adversaries may collect sensitive data from these cloud storage solutions providers typically offer security guides to help end users configure systems though misconfigurations are a common problemcitation amazon s security citation microsoft azure storage security citation google cloud storage best practices  there have been numerous incidents where cloud storage has been improperly secured typically by unintentionally allowing public access to unauthenticated users overlybroad access by all users or even access for any anonymous person outside the control of the identity access management system without even needing basic user permissions

this open access may expose various types of sensitive data such as credit cards personally identifiable information or medical recordscitation trend micro s exposed pii citation wired magecart s buckets citation hipaa journal s breach citation rclonemegaextortion

adversaries may also obtain then abuse leaked credentials from source repositories logs or other means as a way to gain access to cloud storage objects"
